Zieme, Feeney and Beer;1130.25;1;3;8.22
Gislason, O\Reilly and Maggio;679.58;2;4;1.21
Jenkins - Howe;1796.06;1;3;5.63
Macejkovic LLC;2220.14;4;3;9.05
Crona - White;1204.99;3;4;1.98
Kulas, Kub and Roberts;2196.34;3;5;2.31
Jast and Sons;538.02;1;3;8.48
Champlin, Bradtke and Predovic;728.12;3;2;8.55
Schmeler, Labadie and Ledner;2471.15;3;3;1.97
Bernier, Rempel and Purdy;960.23;2;3;8.61
Hamill - Larkin;1229.06;1;2;8.90
Wisoky Group;535.04;3;3;9.96
Jacobi Group;943.34;4;4;1.26
Cremin, Braun and Ratke;703.87;2;3;5.70
Bernhard and Sons;1938.73;1;3;3.41
Nader - Crona;2427.13;3;4;6.55
Cartwright - Toy;1001.95;2;3;8.04
Rippin - Dare;741.58;4;5;4.48
Stokes - Langosh;710.89;2;5;6.23
Funk, Osinski and Hudson;925.31;2;5;1.56
Krajcik, Hermann and Johns;1880.38;1;5;6.04
Price and Sons;1772.33;4;3;7.82
Gleichner, Funk and West;886.32;1;2;3.71
Ziemann - Jacobson;1968.93;2;4;4.28
Waters - Ziemann;1599.99;2;5;7.64
Robel - Turcotte;903.06;3;4;2.15
Kovacek, Corwin and Kohler;1723.68;4;5;2.96
Bogisich - Ryan;2431.87;3;2;1.33
Upton, Pfannerstill and Goldner;549.06;2;5;3.37
Hamill - Kohler;1666.02;1;2;4.74
Emmerich, Blick and Zieme;1101.51;3;2;1.49
Hirthe, McDermott and Kessler;1416.69;2;3;7.65
Jacobson - Bradtke;1512.69;2;4;3.16
Bechtelar, Klein and Jacobson;976.55;1;3;7.41
Halvorson - Quitzon;1836.84;3;4;1.67
Parisian Inc;725.45;2;4;5.91
Towne Group;1496.79;3;5;4.62
Sanford, Dibbert and Kling;1696.71;3;3;4.73
Beahan - Muller;1007.74;3;2;9.76
Christiansen, Cassin and Maggio;2459.79;3;2;6.11
Breitenberg - Weber;2462.02;3;3;3.09
Grady LLC;1813.06;3;3;9.49
Adams - Friesen;1321.57;2;3;2.24
Pollich and Sons;729.87;1;3;5.78
Dooley, Glover and Homenick;1236.85;2;3;6.89
McClure Inc;1566.76;3;2;2.38
Leannon Group;1895.73;4;3;3.75
Mante - Tremblay;924.50;3;4;7.25
Lind, Krajcik and Fadel;973.38;4;4;6.35
Kunze and Sons;843.60;2;5;8.93
Schuster - Greenholt;1881.17;2;3;9.04
Ankunding and Sons;2296.41;1;3;1.14
Pfeffer, Sporer and Heidenreich;549.55;4;2;2.61
Feest and Sons;1360.98;2;3;3.43
Dicki - Collier;637.47;3;5;1.65
Walter and Sons;1830.12;2;3;8.59
Swaniawski and Sons;746.21;2;5;7.38
Okuneva, VonRueden and Williamson;1443.92;2;4;3.37
Armstrong and Sons;2279.18;2;3;4.04
Bruen LLC;1979.38;3;5;6.67
Pouros, McLaughlin and Schiller;1962.66;2;2;3.05
Schaefer and Sons;1311.03;2;4;2.28
Zemlak, Padberg and Schuppe;2048.82;3;5;1.60
Olson, Bins and Zulauf;1025.38;2;3;9.12
Doyle Inc;1885.68;2;4;8.06
Kunde Inc;1551.96;1;3;8.06
Bauch, Tromp and Luettgen;2036.27;4;2;7.88
Dickens and Sons;1521.05;4;4;5.91
Weimann - Legros;987.87;3;4;9.30
Dare and Sons;806.55;3;3;2.61
Gutmann - Emard;1917.16;3;5;1.50
Brown and Sons;1327.07;4;4;3.83
VonRueden - Block;1233.67;2;5;7.11
Marvin, Rowe and Langworth;1286.37;2;3;6.72
Frami Inc;1571.78;2;3;7.23
Buckridge - Bergnaum;2225.16;1;3;6.58
Ortiz - Orn;1741.01;1;3;5.14
Jerde - Cronin;1610.19;4;3;6.64
Klocko, Hammes and Lubowitz;1344.10;3;3;6.93
Schmidt - Upton;1205.05;2;3;2.23
Hegmann Inc;1732.69;2;4;6.24
Quigley Inc;1400.02;4;3;2.09
Beier LLC;1809.88;4;2;1.08
Raynor LLC;1182.93;3;4;5.22
Dickens - Dickens;1641.60;2;4;3.27
Adams Group;2117.44;2;4;3.27
Dickinson, Goldner and Swift;511.46;3;3;9.09
Stokes, Borer and Douglas;1571.20;4;2;3.28
Reynolds LLC;821.02;3;5;2.56
Farrell LLC;529.83;2;3;4.31
Cartwright, Schmeler and Rippin;597.39;3;2;2.68
Krajcik - Ortiz;1323.99;1;4;5.33
Klein, Conroy and Bauch;1605.61;1;5;8.20
Swift, Herzog and Ryan;1603.91;4;3;6.93
Hoeger Inc;1797.96;4;3;2.18
Hintz Inc;874.51;2;5;3.96
McClure and Sons;1936.97;3;4;5.40
Murray Inc;2477.96;3;4;8.02
Durgan, Waelchi and Lehner;806.94;4;4;9.65
Casper, Nienow and Conn;1998.24;3;3;5.73
Kris - Ankunding;1624.51;2;4;9.24
Barrows and Sons;1438.35;3;2;8.29
Bernier Inc;2298.81;3;3;7.40
Mayert, Murray and Sawayn;1926.89;3;5;5.11
Runolfsson, Wuckert and Kuhic;2323.15;2;4;5.09
Kris Group;764.77;4;4;4.21
Ledner, Hudson and Cruickshank;1587.15;3;3;5.75
Greenfelder - Mohr;569.50;2;5;6.09
Wiza - Considine;2466.97;4;4;6.38
Feest - Prohaska;1033.13;1;4;4.01
Gibson - Satterfield;1551.86;1;4;7.76
Harber, Heller and Dietrich;1377.78;2;3;8.94
Goyette LLC;1233.13;3;4;6.89
Heathcote - Aufderhar;754.13;1;5;7.86
Lueilwitz Inc;825.47;3;5;2.31
Lind, Mills and Kuphal;2402.07;2;2;8.74
Schimmel LLC;2391.08;3;3;1.90
Cruickshank - Gislason;1664.75;2;2;3.60
Stehr - Cummerata;1400.26;4;3;5.71
Klocko, Reinger and Ebert;2248.66;3;3;3.09
Bruen - Fritsch;1175.40;3;4;1.87
Bednar, Hartmann and Mayer;2000.60;2;5;1.45
Rippin - McDermott;683.87;2;3;7.11
Ruecker Group;2138.69;2;3;1.20
Schmitt - Okuneva;1121.93;2;4;9.75
Keebler - Kerluke;1253.13;3;2;1.60
Heller - O\Conner;830.42;1;4;9.86
Streich - Balistreri;1584.94;1;3;9.89
Yundt - Watsica;1028.27;1;4;3.29
Rohan, Monahan and Dickinson;584.67;2;5;7.20
Jacobi Group;2081.68;4;3;6.70
Fisher, Klocko and Dietrich;1935.18;2;3;2.18
Denesik, Koepp and Schimmel;1279.76;2;3;2.11
Wisoky - Stiedemann;1794.38;3;3;5.50
Farrell - Kris;2177.63;1;4;7.39
Mertz LLC;1763.38;3;2;1.67
Lesch and Sons;2167.83;1;5;2.54
Weber - Dietrich;1872.91;3;4;4.58
Gottlieb - Cummerata;2209.78;2;4;9.12
Towne Group;2133.93;2;3;4.39
Herzog - Haag;1017.35;3;5;6.05
Parker LLC;785.91;4;2;3.10
Kulas and Sons;1188.52;1;3;4.21
Gorczany Group;1486.94;2;3;4.88
Thiel, Hegmann and Dickinson;1711.75;2;4;3.74
Balistreri, Blanda and Daugherty;2364.85;1;4;8.49
Quitzon Group;1777.50;3;4;1.64
Harvey, Russel and Dibbert;751.18;3;4;9.66
Runolfsdottir and Sons;885.47;3;4;3.77
Mueller - Schuster;1203.67;1;3;1.77
Ebert, Johnson and Waters;1164.60;2;4;3.96
Haag, Howe and Trantow;2431.04;2;2;3.08
Lehner Inc;2444.30;1;3;9.72
Robel Inc;1648.74;1;3;9.45
Smith and Sons;2466.94;2;2;3.43
Turcotte and Sons;1428.03;4;3;2.21
Dare LLC;1383.20;1;3;2.63
Hegmann, Hartmann and Simonis;865.99;2;4;8.94
Marquardt - Walsh;1735.70;4;5;6.58
Klocko - Hansen;2225.95;3;3;5.01
Runte, Homenick and Hoeger;525.98;3;3;9.35
Padberg Group;1443.83;1;5;1.47
Effertz - Trantow;1130.68;4;3;1.22
Durgan - Deckow;2397.95;3;4;8.61
Hackett - Cronin;1839.54;2;5;7.07
Walsh LLC;658.58;4;3;9.53
Pouros, Barrows and Watsica;963.93;2;4;6.87
Leannon Inc;1001.78;3;3;4.92
Lehner and Sons;911.87;3;3;7.75
Walter, Casper and Schmidt;2325.03;3;3;1.84
Bode - Jerde;1791.82;2;4;9.66
Okuneva, Bauch and Jast;2327.39;3;2;2.54
Kuphal - Kassulke;754.65;3;4;4.42
Wisozk - Smitham;2331.60;3;5;4.00
Cronin, Kiehn and Fadel;728.07;3;3;8.70
Rippin Group;654.61;3;5;7.79
Nitzsche - Douglas;1779.80;2;3;4.97
Glover - Homenick;726.12;1;4;9.19
Harris, Christiansen and Kiehn;620.10;3;5;8.44
Ritchie - Zemlak;1795.25;3;2;7.07
Volkman and Sons;1564.90;1;3;1.43
Sauer - Ward;2343.63;1;5;7.53
Kunze - Green;2201.43;2;4;4.92
White - Corkery;865.64;1;4;2.68
Rosenbaum Group;804.00;2;3;7.63
Gusikowski LLC;883.24;3;2;8.76
Kautzer - Johnson;567.89;3;3;6.44
Rowe - Hamill;1803.67;3;2;1.33
Torp LLC;680.27;2;4;4.27
Bartoletti - Paucek;2303.26;4;4;5.62
Tillman - Wintheiser;1985.10;3;5;7.09
Corwin, Mayer and Graham;1679.75;3;4;5.79
Wuckert LLC;942.25;1;5;5.87
Kautzer - Crooks;2460.67;4;5;1.49
Littel - Lebsack;852.06;4;2;8.62
Vandervort and Sons;822.40;3;3;7.42
Daugherty Group;964.73;4;4;2.95
Durgan - Rempel;1322.35;4;3;8.79
Walsh, Mann and Langosh;1965.78;2;5;2.38
Dicki and Sons;1012.39;2;4;5.20
Hintz - Hyatt;1160.71;2;5;8.89
Monahan - Willms;1356.43;4;2;1.93
Davis - Hintz;1967.38;3;3;1.89
Beier and Sons;1885.25;4;2;8.67
Hansen - Dooley;1878.68;3;4;4.75
Cruickshank, Torp and West;1121.01;4;2;6.13
Reichert, Dare and Hackett;812.35;4;3;9.12
Abernathy - McDermott;1323.22;2;4;4.36
Lakin, Zemlak and Wolf;567.29;1;3;7.85
Legros - Walker;812.75;2;5;7.94
Dickens - Bauch;562.12;3;5;2.87
Schultz Inc;1716.05;3;2;8.47
Hoppe - Morar;561.52;4;5;2.70
Funk - Reinger;1996.35;1;4;2.66
Fadel - Abshire;1872.76;4;3;4.84
Heidenreich Group;1498.33;1;4;8.79
Raynor - Franecki;907.63;4;4;3.91
Lueilwitz - Bechtelar;1914.47;2;4;2.16
Kovacek - Mann;1369.92;3;2;5.60
Senger Group;2230.20;3;2;4.15
Goyette - Denesik;985.93;3;4;7.66
Howe and Sons;618.35;4;5;2.29
